Identifier,ARN,Resource type,Region,AWS Account,Application,CfnResourceType,LastReportedAt,Service,Tags,Tag:kubernetes.io/cluster/eks,Tag:kubernetes.io/service-name
aws-service-role/spot.amazonaws.com/AWSServiceRoleForEC2Spot,arn:aws:iam::990793583275:role/aws-service-role/spot.amazonaws.com/AWSServiceRoleForEC2Spot,iam:role,global,990793583275,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
aws-service-role/elasticloadbalancing.amazonaws.com/AWSServiceRoleForElasticLoadBalancing,arn:aws:iam::990793583275:role/aws-service-role/elasticloadbalancing.amazonaws.com/AWSServiceRoleForElasticLoadBalancing,iam:role,global,990793583275,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
Default,arn:aws:xray:us-east-1:990793583275:sampling-rule/Default,xray:sampling-rule,us-east-1,990793583275,-,AWS::XRay::SamplingRule,Mon Sep 14 2026 01:22:14 GMT-0300 (Brasilia Standard Time),xray,0,(not tagged),(not tagged)
aws-service-role/resource-explorer-2.amazonaws.com/AWSServiceRoleForResourceExplorer,arn:aws:iam::990793583275:role/aws-service-role/resource-explorer-2.amazonaws.com/AWSServiceRoleForResourceExplorer,iam:role,global,990793583275,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:40 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
open-access,arn:aws:memorydb:us-east-1:990793583275:acl/open-access,memorydb:acl,us-east-1,990793583275,-,AWS::MemoryDB::ACL,Sat Sep 12 2026 04:21:21 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
default,arn:aws:events:us-east-1:990793583275:event-bus/default,events:event-bus,us-east-1,990793583275,-,AWS::Events::EventBus,Mon Sep 14 2026 21:46:09 GMT-0300 (Brasilia Standard Time),events,0,(not tagged),(not tagged)
dopt-f4a00f8e,arn:aws:ec2:us-east-1:990793583275:dhcp-options/dopt-f4a00f8e,ec2:dhcp-options,us-east-1,990793583275,-,AWS::EC2::DHCPOptions,Tue Sep 15 2026 15:08:46 GMT-0300 (Brasilia Standard Time),ec2,0,(not tagged),(not tagged)
aws-service-role/support.amazonaws.com/AWSServiceRoleForSupport,arn:aws:iam::990793583275:role/aws-service-role/support.amazonaws.com/AWSServiceRoleForSupport,iam:role,global,990793583275,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:40 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
a7cc72f3-3a7b-4f40-95b0-d88b416482f0,arn:aws:kms:us-east-1:990793583275:key/a7cc72f3-3a7b-4f40-95b0-d88b416482f0,kms:key,us-east-1,990793583275,-,AWS::KMS::Key,Mon Sep 14 2026 19:12:38 GMT-0300 (Brasilia Standard Time),kms,0,(not tagged),(not tagged)
primary,arn:aws:athena:us-east-1:990793583275:workgroup/primary,athena:workgroup,us-east-1,990793583275,-,AWS::Athena::WorkGroup,Sat Sep 12 2026 15:22:41 GMT-0300 (Brasilia Standard Time),athena,0,(not tagged),(not tagged)
default.memorydb-redis6,arn:aws:memorydb:us-east-1:990793583275:parametergroup/default.memorydb-redis6,memorydb:parametergroup,us-east-1,990793583275,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
default.memorydb-redis7.search.preview,arn:aws:memorydb:us-east-1:990793583275:parametergroup/default.memorydb-redis7.search.preview,memorydb:parametergroup,us-east-1,990793583275,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
