Identifier,ARN,Resource type,Region,AWS Account,Application,CfnResourceType,LastReportedAt,Service,Tags,Tag:kubernetes.io/cluster/eks,Tag:kubernetes.io/service-name
default.memorydb-redis7,arn:aws:test-resource-001:test-resource-002:000000000001:test-resource-003/default.memorydb-redis7,memorydb:parametergroup,us-east-1,000000000002,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
test-resource-018/134test-resource-019,arn:aws:test-resource-007:test-resource-002:000000000001:test-resource-008/test-resource-018/134test-resource-019,elasticloadbalancing:targetgroup,us-east-1,000000000002,-,AWS::ElasticLoadBalancingV2::TargetGroup,Thu Aug 27 2026 13:25:53 GMT-0300 (Brasilia Standard Time),elasticloadbalancing,2,owned,test-resource-011/test-resource-020
test-resource-005,arn:aws:iam::000000000001:role/test-resource-005,iam:role,global,000000000002,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:40 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
test-resource-002/43test-resource-022,arn:aws:test-resource-021:test-resource-002:000000000001:view/test-resource-002/43test-resource-022,resource-explorer-2:view,us-east-1,000000000002,-,AWS::ResourceExplorer2::View,Wed Aug 26 2026 08:08:28 GMT-0300 (Brasilia Standard Time),resource-explorer-2,0,(not tagged),(not tagged)
test-resource-023/91test-resource-024,arn:aws:test-resource-007:test-resource-002:000000000001:test-resource-008/test-resource-023/91test-resource-024,elasticloadbalancing:targetgroup,us-east-1,000000000002,-,AWS::ElasticLoadBalancingV2::TargetGroup,Thu Aug 27 2026 13:25:53 GMT-0300 (Brasilia Standard Time),elasticloadbalancing,2,owned,test-resource-011/test-resource-020
test-resource-026,arn:aws:s3:test-resource-002:000000000001:test-resource-025/test-resource-026,s3:storage-lens,us-east-1,000000000002,-,AWS::S3::StorageLens,Sun Sep 13 2026 10:58:14 GMT-0300 (Brasilia Standard Time),s3,0,(not tagged),(not tagged)
aws-service-role/test-resource-027/AWSServiceRoleForAmazonEKS,arn:aws:iam::000000000001:role/aws-service-role/test-resource-027/AWSServiceRoleForAmazonEKS,iam:role,global,000000000002,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:38 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
test-resource-028/367test-resource-029,arn:aws:test-resource-007:test-resource-002:000000000001:test-resource-008/test-resource-028/367test-resource-029,elasticloadbalancing:targetgroup,us-east-1,000000000002,-,AWS::ElasticLoadBalancingV2::TargetGroup,Thu Aug 27 2026 13:25:54 GMT-0300 (Brasilia Standard Time),elasticloadbalancing,2,owned,test-resource-011/test-resource-012
test-resource-031,arn:aws:test-resource-030:test-resource-002:000000000001:rule/test-resource-031,events:rule,us-east-1,000000000002,-,AWS::Events::Rule,Sat Sep 12 2026 18:03:01 GMT-0300 (Brasilia Standard Time),events,-,(not tagged),(not tagged)
test-resource-011,arn:aws:rds:test-resource-002:000000000001:test-resource-032:test-resource-011,rds:secgrp,us-east-1,000000000002,-,AWS::RDS::DBSecurityGroup,Sun Sep 13 2026 07:13:23 GMT-0300 (Brasilia Standard Time),rds,0,(not tagged),(not tagged)
67694test-resource-033,arn:aws:kms:test-resource-002:000000000001:key/67694test-resource-033,kms:key,us-east-1,000000000002,-,AWS::KMS::Key,Mon Sep 14 2026 19:12:38 GMT-0300 (Brasilia Standard Time),kms,0,(not tagged),(not tagged)
test-resource-034,arn:aws:iam::000000000001:role/test-resource-034,iam:role,global,000000000002,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:38 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
test-resource-035,arn:aws:iam::000000000001:group/test-resource-035,iam:group,global,000000000002,-,AWS::IAM::Group,Sun Sep 13 2026 16:16:38 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
test-resource-011,arn:aws:test-resource-001:test-resource-002:000000000001:user/test-resource-011,memorydb:user,us-east-1,000000000002,-,AWS::MemoryDB::User,Sat Sep 12 2026 11:20:31 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
test-resource-038/1/00000000000000000000000000000001,arn:aws:test-resource-036:test-resource-002:000000000001:test-resource-037/test-resource-038/1/00000000000000000000000000000001,apprunner:autoscalingconfiguration,us-east-1,000000000002,-,AWS::AppRunner::AutoScalingConfiguration,Sat Sep 12 2026 07:38:57 GMT-0300 (Brasilia Standard Time),apprunner,0,(not tagged),(not tagged)
default.memorydb-valkey7.search,arn:aws:test-resource-001:test-resource-002:000000000001:test-resource-003/default.memorydb-valkey7.search,memorydb:parametergroup,us-east-1,000000000002,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
test-resource-039,arn:aws:iam::000000000001:role/test-resource-039,iam:role,global,000000000002,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:38 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
8test-resource-040,arn:aws:test-resource-021:test-resource-002:000000000001:index/8test-resource-040,resource-explorer-2:index,us-east-1,000000000002,-,AWS::ResourceExplorer2::Index,Wed Sep 09 2026 13:26:50 GMT-0300 (Brasilia Standard Time),resource-explorer-2,0,(not tagged),(not tagged)
test-resource-034,arn:aws:iam::000000000001:instance-profile/test-resource-034,iam:instance-profile,global,000000000002,-,AWS::IAM::InstanceProfile,Wed Sep 09 2026 20:39:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
test-resource-041,arn:aws:iam::000000000001:mfa/test-resource-041,iam:mfa,global,000000000002,-,AWS::IAM::VirtualMFADevice,Sat Sep 12 2026 05:17:35 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
aws-service-role/test-resource-042/AWSServiceRoleForEC2Spot,arn:aws:iam::000000000001:role/aws-service-role/test-resource-042/AWSServiceRoleForEC2Spot,iam:role,global,000000000002,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
aws-service-role/test-resource-043/AWSServiceRoleForElasticLoadBalancing,arn:aws:iam::000000000001:role/aws-service-role/test-resource-043/AWSServiceRoleForElasticLoadBalancing,iam:role,global,000000000002,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:39 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
test-resource-045,arn:aws:xray:test-resource-002:000000000001:test-resource-044/test-resource-045,xray:sampling-rule,us-east-1,000000000002,-,AWS::XRay::SamplingRule,Mon Sep 14 2026 01:22:14 GMT-0300 (Brasilia Standard Time),xray,0,(not tagged),(not tagged)
aws-service-role/test-resource-046/AWSServiceRoleForResourceExplorer,arn:aws:iam::000000000001:role/aws-service-role/test-resource-046/AWSServiceRoleForResourceExplorer,iam:role,global,000000000002,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:40 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
test-resource-047,arn:aws:test-resource-001:test-resource-002:000000000001:acl/test-resource-047,memorydb:acl,us-east-1,000000000002,-,AWS::MemoryDB::ACL,Sat Sep 12 2026 04:21:21 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
test-resource-011,arn:aws:test-resource-030:test-resource-002:000000000001:test-resource-048/test-resource-011,events:event-bus,us-east-1,000000000002,-,AWS::Events::EventBus,Mon Sep 14 2026 21:46:09 GMT-0300 (Brasilia Standard Time),events,0,(not tagged),(not tagged)
test-resource-050,arn:aws:ec2:test-resource-002:000000000001:test-resource-049/test-resource-050,ec2:dhcp-options,us-east-1,000000000002,-,AWS::EC2::DHCPOptions,Tue Sep 15 2026 15:08:46 GMT-0300 (Brasilia Standard Time),ec2,0,(not tagged),(not tagged)
aws-service-role/test-resource-051/AWSServiceRoleForSupport,arn:aws:iam::000000000001:role/aws-service-role/test-resource-051/AWSServiceRoleForSupport,iam:role,global,000000000002,-,AWS::IAM::Role,Sat Sep 12 2026 18:34:40 GMT-0300 (Brasilia Standard Time),iam,0,(not tagged),(not tagged)
test-resource-052,arn:aws:kms:test-resource-002:000000000001:key/test-resource-052,kms:key,us-east-1,000000000002,-,AWS::KMS::Key,Mon Sep 14 2026 19:12:38 GMT-0300 (Brasilia Standard Time),kms,0,(not tagged),(not tagged)
test-resource-054,arn:aws:test-resource-015:test-resource-002:000000000001:test-resource-053/test-resource-054,athena:workgroup,us-east-1,000000000002,-,AWS::Athena::WorkGroup,Sat Sep 12 2026 15:22:41 GMT-0300 (Brasilia Standard Time),athena,0,(not tagged),(not tagged)
default.memorydb-redis6,arn:aws:test-resource-001:test-resource-002:000000000001:test-resource-003/default.memorydb-redis6,memorydb:parametergroup,us-east-1,000000000002,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
default.memorydb-redis7.search.preview,arn:aws:test-resource-001:test-resource-002:000000000001:test-resource-003/default.memorydb-redis7.search.preview,memorydb:parametergroup,us-east-1,000000000002,-,AWS::MemoryDB::ParameterGroup,Sun Sep 13 2026 01:57:20 GMT-0300 (Brasilia Standard Time),memorydb,0,(not tagged),(not tagged)
